age,monthly_income,years_at_company,job_satisfaction,overtime_hours,promotion_years,target
18,554.86,2.69,1,8.3,1.22,1
60,104.33,5.99,4,1.0,7.71,1
36,205.49,0.82,2,7.03,2.8,0
25,372.61,0.0,3,9.18,0.0,1
43,228.28,8.66,7,14.67,5.11,0
38,491.73,3.04,2,12.52,0.0,1
49,74.74,8.8,4,4.03,2.16,1
47,153.29,1.54,2,13.14,7.72,0
61,211.24,10.98,1,1.0,13.11,1
63,123.71,2.79,2,8.35,10.22,0
60,266.85,4.11,2,26.11,10.31,0
52,53.43,7.15,2,1.0,7.57,1
33,82.36,2.18,2,16.03,12.1,0
58,265.59,0.0,2,9.9,2.63,0
48,122.83,3.75,3,12.12,4.32,0
23,45.13,10.07,1,13.1,2.22,0
60,195.79,5.9,2,4.96,4.56,0
22,42.6,8.02,0,16.6,5.78,0
39,39.79,4.64,4,9.93,5.8,1
31,146.55,0.0,4,9.55,0.0,0
60,170.99,3.91,3,20.86,2.15,1
19,197.54,2.6,3,23.82,1.5,1
21,221.67,2.77,7,21.72,3.1,1
37,212.26,5.69,4,8.86,8.36,1
34,348.56,5.63,2,29.18,3.16,0
52,178.6,2.34,1,10.95,14.96,1
53,93.9,11.46,2,1.0,3.19,0
53,163.82,6.79,7,8.71,2.47,1
28,72.2,6.17,0,6.57,0.48,0
56,28.11,4.53,3,13.86,4.79,0
49,97.88,10.96,2,7.76,11.78,1
45,438.35,4.24,2,14.17,0.0,1
60,77.21,12.49,2,16.91,1.08,0
57,98.77,10.4,4,1.0,9.97,1
57,136.86,2.69,1,12.17,3.86,1
52,212.23,0.68,3,15.78,0.0,1
32,311.37,3.06,2,16.78,6.13,1
65,434.58,6.54,2,15.98,12.07,1
32,265.04,0.0,5,3.27,13.01,1
27,75.63,7.61,2,9.35,4.83,1
27,195.74,6.44,7,19.01,1.23,0
25,277.06,9.95,3,1.15,2.51,1
43,562.17,3.52,2,10.82,5.14,1
38,925.3,3.94,3,27.09,2.58,1
43,152.11,4.39,2,18.11,5.94,0
47,271.37,8.48,2,7.05,3.42,0
61,158.47,3.96,2,8.33,12.46,1
33,263.23,0.89,2,6.42,4.37,1
40,171.09,0.0,3,23.53,0.02,0
53,174.9,5.49,5,5.95,0.0,1
32,56.97,2.9,4,13.74,6.66,1
51,122.44,0.65,5,1.0,0.0,0
41,192.54,12.05,2,11.13,6.29,0
42,59.26,7.75,3,16.77,4.93,0
18,33.0,0.31,6,7.36,4.87,1
46,138.2,0.06,3,2.72,5.06,1
65,170.83,10.41,7,4.09,8.1,0
45,212.33,11.78,6,19.64,8.45,0
32,260.92,4.04,8,12.29,0.0,1
41,370.72,8.37,5,1.0,6.19,1
22,38.19,2.15,2,12.36,7.32,1
33,204.94,7.37,7,22.75,6.9,0
30,125.77,2.3,4,30.92,5.24,0
55,118.73,3.98,3,17.34,2.26,0
25,198.56,1.87,7,17.51,9.22,1
55,66.04,2.89,2,12.77,6.88,1
29,227.37,4.05,3,20.14,3.0,0
35,397.72,2.31,3,17.82,5.46,1
38,128.41,5.33,2,11.52,0.0,0
54,589.82,7.89,6,1.84,1.18,1
30,59.34,8.58,2,14.32,1.2,0
63,104.28,1.89,4,10.94,2.66,1
52,253.18,9.56,2,6.88,3.58,0
26,228.51,5.38,2,10.45,11.82,1
52,85.83,4.85,3,13.68,7.05,1
60,100.2,0.47,2,16.38,6.79,0
31,308.9,5.84,1,10.99,3.85,1
40,36.96,7.39,4,8.5,4.94,1
64,183.15,2.08,2,1.0,7.23,0
20,267.77,3.45,2,12.4,3.75,0
48,30.21,2.51,5,5.97,5.47,1
51,178.36,4.27,2,17.99,2.4,0
38,301.54,3.09,4,24.98,7.65,1
55,66.54,4.76,3,11.74,4.34,0
57,120.41,1.86,1,1.86,1.72,0
43,54.74,5.07,2,6.81,8.65,1
50,54.55,2.99,5,11.69,6.66,1
28,148.95,7.46,4,24.89,0.0,1
